1	5.000000	-1.121235	-0.087605
2	5.000000	-1.121322	-0.109580
3	5.000000	-1.121432	-0.292870
4	5.000001	-1.121725	-0.239666
5	5.000003	-1.121965	-0.407049
6	5.000002	-1.122372	0.011739
7	4.999998	-1.122360	0.262588
8	4.999993	-1.122097	-0.222379
9	4.999987	-1.122320	0.057306
10	4.999980	-1.122262	0.240460
11	4.999974	-1.122022	-0.031467
12	4.999967	-1.122053	-0.013672
13	4.999960	-1.122067	-0.189785
14	4.999951	-1.122257	-0.227584
15	4.999941	-1.122484	-0.199746
16	4.999933	-1.122684	-0.322899
17	4.999924	-1.123007	-0.314311
18	4.999914	-1.123321	0.036504
19	4.999906	-1.123285	0.098769
20	4.999897	-1.123186	0.206314
21	4.999890	-1.122980	0.122796
22	4.999882	-1.122857	0.247907
23	4.999874	-1.122609	-0.092329
24	4.999866	-1.122701	0.222905
25	4.999858	-1.122479	0.265211
26	4.999852	-1.122213	-0.116207
27	4.999844	-1.122330	-0.045854
28	4.999836	-1.122375	0.663636
29	4.999832	-1.121712	0.293970
30	4.999828	-1.121418	-0.585147
31	4.999824	-1.122003	-0.388690
32	4.999822	-1.122392	-0.262919
33	4.999817	-1.122655	-0.421936
34	4.999813	-1.123076	0.112762
35	4.999809	-1.122964	0.525378
36	4.999807	-1.122438	-0.056303
37	4.999803	-1.122495	-0.338128
38	4.999799	-1.122833	-0.002610
39	4.999790	-1.122835	-0.282036
40	4.999783	-1.123117	-0.012719
41	4.999774	-1.123130	-0.390510
42	4.999765	-1.123521	-0.139061
43	4.999756	-1.123660	-0.319939
44	4.999748	-1.123980	-0.189657
45	4.999741	-1.124169	0.210380
46	4.999734	-1.123959	-0.241468
47	4.999726	-1.124200	0.469398
48	4.999717	-1.123731	-0.179990
49	4.999708	-1.123911	-0.395934
50	4.999699	-1.124307	-0.171469
51	4.999690	-1.124478	-0.116665
52	4.999683	-1.124595	-0.465539
53	4.999678	-1.125061	-0.460576
54	4.999671	-1.125521	-0.521180
55	4.999667	-1.126042	-0.025694
56	4.999662	-1.126068	-0.961481
57	4.999658	-1.127030	-0.932628
58	4.999655	-1.127962	-0.045466
59	4.999654	-1.128008	0.713154
60	4.999652	-1.127294	0.249440
61	4.999649	-1.127045	-0.078229
62	4.999648	-1.127123	0.680954
63	4.999646	-1.126442	0.090758
64	4.999645	-1.126352	0.646391
65	4.999642	-1.125705	0.230814
66	4.999641	-1.125474	0.454236
67	4.999641	-1.125020	0.567607
68	4.999640	-1.124452	-0.089705
69	4.999638	-1.124542	-0.068703
70	4.999636	-1.124611	-0.301022
71	4.999631	-1.124912	-0.645226
72	4.999628	-1.125557	-0.487794
73	4.999626	-1.126045	-0.908960
74	4.999627	-1.126954	-0.440701
75	4.999626	-1.127395	-0.801748
76	4.999626	-1.128196	0.384839
77	4.999625	-1.127812	-0.645951
78	4.999621	-1.128457	-1.112931
79	4.999616	-1.129570	-0.815086
80	4.999612	-1.130385	0.531167
81	4.999608	-1.129854	-0.386493
82	4.999604	-1.130241	-0.578857
83	4.999600	-1.130820	-0.602570
